"readerid","firstname","lastname"
17,"Haley","Moreno"
19,"Katherine","Martin"
47,"Laura","Wilson"
51,"Chelsea","Romero"
69,"Rodney","Perez"
74,"Jose","Hernandez"
78,"Christopher","Cooke"
81,"Stephen","Burns"
82,"William","Crane"
91,"Brittany","Russell"
94,"Robert","Blackwell"
106,"Ruth","Rivera"
125,"Rachel","Miller"
146,"Carolyn","Daniel"
147,"John","Brown"
149,"Elizabeth","Aguilar"
154,"Erin","Hill"
165,"Tammy","Sullivan"
169,"Christine","Washington"
171,"Gary","Good"
182,"Robert","Beasley"
188,"Erin","Lynn"
198,"Jake","Valenzuela"
200,"Sarah","Torres"
201,"Jessica","Nunez"
213,"Patrick","Jones"
223,"Jennifer","Gordon"
240,"Destiny","Powell"
252,"Chad","Pruitt"
253,"Lindsey","Hooper"
255,"Christopher","Davis"
256,"Beverly","Frazier"
260,"Jesse","Huber"
268,"Heather","Mitchell"
273,"Alexander","Becker"
276,"Ricardo","Wang"
287,"Stacy","Howard"
294,"Sara","Turner"
298,"Heather","Gomez"
305,"Michael","Jones"
310,"Natasha","Deleon"
311,"Elizabeth","Palmer"
312,"James","Flynn"
319,"Jason","Fisher"
328,"Jennifer","Lee"
338,"Sally","Walker"
339,"Crystal","Lara"
351,"Amanda","Green"
366,"Amanda","Marshall"
370,"Shawn","Johnston"
373,"Randy","Hansen"
375,"Lauren","Perez"
378,"Heather","Gardner"
379,"Joe","Mcclain"
380,"Daniel","Turner"
384,"Jessica","Davies"
389,"Charles","Wilson"
398,"Janet","Jones"
399,"Scott","Richards"
407,"Matthew","Collins"
418,"Andrea","Johnson"
422,"Joseph","Harris"
427,"Dawn","Ortiz"
431,"Michael","Hernandez"
442,"Vickie","Moore"
453,"Gary","Murphy"
461,"Samantha","Richards"
468,"Stanley","Collins"
489,"Madison","Avery"
491,"Linda","Cooper"
498,"Caleb","Martin"
500,"Joseph","Manning"
502,"Brenda","Thomas"
515,"Andrew","Hernandez"
524,"Wendy","Schaefer"
528,"Tina","Williams"
560,"Shannon","Austin"
562,"Teresa","Nguyen"
566,"Brian","Baker"
569,"Danielle","Aguilar"
581,"Shawn","Williams"
587,"James","Stone"
591,"Shaun","Peterson"
593,"Nicholas","Ellison"
