"readerid","firstname","lastname","totalbooksborrowed"
25075,"Yvonne","Colon","13"
2602,"Francisco","Salazar","12"
3594,"Brandy","Fuller","12"
6716,"Nicholas","Wade","11"
19846,"Gregory","Harris","11"
16303,"Amy","Torres","11"
28473,"Jessica","Brown","11"
15771,"Sara","Jones","11"
14095,"Caroline","Swanson","11"
22804,"Richard","Green","11"
28449,"Brian","Perez","11"
3523,"Matthew","Esparza","11"
32331,"Daniel","Webster","10"
20110,"Jeffrey","George","10"
1304,"Nicole","Reeves","10"
13260,"Tonya","Robinson","10"
7827,"Ricky","Coleman","10"
18078,"Emily","Schneider","10"
29827,"Christopher","Dominguez","10"
30551,"Anne","Carter","10"
23156,"Timothy","Martinez","10"
18752,"Thomas","Hodges","10"
33235,"Deanna","Gonzalez","10"
22532,"William","Hamilton","10"
21071,"Theresa","Johnson","10"
24539,"Jason","Cox","10"
18732,"Laura","Skinner","10"
10182,"Holly","Welch","10"
18809,"Madison","Hopkins","10"
9156,"Julie","Edwards","10"
24851,"Calvin","Dickson","10"
18508,"Steven","Butler","10"
14381,"Jeffrey","Rodriguez","10"
9411,"Andre","Wilson","10"
13914,"Phillip","Chandler","10"
10026,"Luis","Smith","10"
23532,"Steven","Sparks","10"
16194,"Teresa","Duran","10"
89,"Rachel","Taylor","10"
31875,"Karen","Cook","10"
20600,"Marc","Maxwell","10"
776,"Amanda","Simon","10"
12697,"Alejandro","Romero","10"
14218,"Lisa","Tucker","9"
28792,"Patrick","Mitchell","9"
10917,"James","Graham","9"
21828,"Marvin","Morrison","9"
22236,"Greg","Wagner","9"
30575,"Emily","Jordan","9"
14742,"Troy","Gonzales","9"
21011,"John","Tran","9"
2447,"Rebekah","Brown","9"
18297,"Joy","Smith","9"
2521,"Katherine","Evans","9"
8611,"Ryan","Caldwell","9"
6082,"Juan","Gordon","9"
3781,"Amy","Mason","9"
29245,"Michael","Scott","9"
22004,"Rhonda","Adams","9"
15998,"Anthony","Randolph","9"
11320,"David","Maynard","9"
5112,"Cindy","Fields","9"
29599,"Keith","May","9"
25397,"Benjamin","Miller","9"
15022,"Joseph","Zimmerman","9"
7834,"Olivia","Wallace","9"
23495,"Derrick","Hernandez","9"
9723,"Shawn","Gomez","9"
8364,"Samuel","Roberts","9"
1388,"Stephanie","Cox","9"
27222,"Timothy","Hale","9"
33142,"Wyatt","Barry","9"
3770,"Roger","Graham","9"
24865,"Angel","Jones","9"
18627,"Amber","Torres","9"
19535,"Ashley","Williams","9"
14385,"Jason","Jones","9"
29881,"Stephanie","Walker","9"
4696,"Michael","Brown","9"
10100,"James","Brown","9"
9120,"Michael","James","9"
25214,"Kurt","Coffey","9"
29359,"Alicia","Smith","9"
547,"Cynthia","Lane","9"
10673,"Diane","Lopez","9"
14718,"Elizabeth","Parker","9"
15804,"Amy","Morales","9"
6365,"Tina","Cooke","9"
23341,"Stephanie","Munoz","9"
5353,"Nancy","Soto","9"
16059,"Kristin","Roberts","9"
1737,"Jennifer","Pace","9"
23036,"Mark","Owens","9"
25757,"Kathleen","Hoover","9"
30937,"Diane","Thompson","9"
2111,"Peggy","Mendez","9"
15293,"Amy","Martin","9"
3705,"Miranda","Powell","9"
16435,"Todd","Guerra","9"
1007,"Kathryn","Lopez","9"
26105,"Christopher","Hunt","9"
10633,"Claire","Brown","9"
3933,"Troy","Jones","9"
16073,"Gabriel","Klein","9"
18291,"Paul","Ayers","9"
15388,"Tara","Hernandez","9"
30026,"Mariah","Mason","9"
13803,"John","Drake","9"
8409,"David","Lewis","9"
27954,"Kevin","Duarte","9"
25213,"Frederick","Welch","9"
28922,"Caroline","Lane","9"
22505,"Nancy","Strickland","9"
4867,"Jack","Mendoza","9"
3620,"Kevin","Morris","9"
28651,"Thomas","Lawson","9"
3145,"Jason","Jones","9"
21957,"Harry","Hernandez","9"
20520,"Susan","Wiley","9"
19936,"Thomas","Hernandez","9"
21108,"John","Zavala","9"
5109,"Joshua","Bennett","9"
12326,"Robert","May","9"
39,"Richard","Robbins","8"
24802,"Justin","Garrett","8"
6489,"Jesse","Nguyen","8"
10734,"Donald","Rivas","8"
26956,"Curtis","Schultz","8"
9782,"Anthony","Johnson","8"
1248,"Julie","Hall","8"
5145,"Bobby","Smith","8"
28135,"Rebecca","Phelps","8"
8163,"Kristen","Rice","8"
26742,"Adam","Wagner","8"
20837,"Linda","Martin","8"
33122,"Aaron","Ramos","8"
18522,"Anthony","West","8"
2456,"Barbara","Long","8"
3456,"Bradley","Kim","8"
4570,"Melissa","Dorsey","8"
21898,"Caleb","Cooper","8"
19290,"Tammy","Brown","8"
28336,"Angela","Lawrence","8"
29321,"Joseph","Roberson","8"
3535,"Kimberly","Scott","8"
26922,"Shelley","Kennedy","8"
12661,"Dennis","Avila","8"
14921,"Lauren","Hawkins","8"
24831,"Laurie","Flores","8"
27974,"Joseph","Le","8"
363,"Michelle","Macdonald","8"
18084,"Jason","Strong","8"
23127,"Brian","Bell","8"
19365,"Julie","Lewis","8"
8533,"Julie","Roberson","8"
21506,"Joel","Jones","8"
26534,"Hannah","Harris","8"
18194,"Joseph","Mitchell","8"
15334,"Alexander","Durham","8"
30367,"Bonnie","Washington","8"
5963,"Brian","Parker","8"
15437,"Curtis","Robinson","8"
27874,"Donna","Robinson","8"
21270,"Alfred","Zavala","8"
3301,"Peter","Riddle","8"
4499,"Rebecca","Williams","8"
4017,"Jason","Foley","8"
5535,"Kevin","Roberts","8"
22771,"Jeffery","Mcdonald","8"
9130,"Charles","Stanley","8"
18399,"Benjamin","Hudson","8"
3155,"Alicia","Cruz","8"
9761,"Cheryl","Young","8"
2744,"Lori","Allen","8"
15837,"Kristy","Salazar","8"
8513,"Richard","Ortega","8"
7001,"Robin","Foley","8"
9214,"Stephanie","Lowery","8"
15503,"Matthew","Sullivan","8"
21022,"Morgan","Garcia","8"
26115,"Jared","Walker","8"
5171,"Tracey","Haley","8"
187,"Eric","Moore","8"
12185,"Jennifer","Wells","8"
11028,"Cody","Davis","8"
20758,"Jessica","Fernandez","8"
2752,"John","Medina","8"
18228,"Jose","Carroll","8"
3575,"Kimberly","Daugherty","8"
12799,"Andrea","Thompson","8"
4089,"Debra","Henderson","8"
135,"Mark","Gray","8"
11660,"Timothy","Mendez","8"
21443,"Jean","Moore","8"
11457,"Bobby","Hall","8"
21344,"Ray","Johnson","8"
28759,"Mark","Kelly","8"
2228,"Jacqueline","Brandt","8"
23608,"Christopher","Garcia","8"
29499,"David","Baker","8"
24777,"Jesse","Fernandez","8"
7271,"Tracy","Brown","8"
29544,"Jane","Parker","8"
20428,"Maria","Phillips","8"
11671,"Gary","Vargas","8"
9154,"Kristy","Jensen","8"
4061,"Julie","Chandler","8"
8082,"Katherine","Valdez","8"
31067,"Robert","Bryant","8"
10698,"Maxwell","Daniels","8"
4633,"Matthew","Vasquez","8"
5090,"Samantha","Smith","8"
6843,"James","Guerrero","8"
22972,"Holly","Jackson","8"
21834,"Jamie","Hunter","8"
31063,"Edwin","Barrera","8"
9552,"Nicole","Russell","8"
19772,"Jeffrey","Brown","8"
12253,"Katherine","Rose","8"
17416,"Michael","Jones","8"
32681,"Austin","Jackson","8"
28758,"Keith","Payne","8"
815,"Jesse","Harris","8"
24217,"Ryan","Smith","8"
27761,"Melissa","Davis","8"
6230,"Lisa","Gilbert","8"
11,"David","Day","8"
19023,"Amy","Johnson","8"
8144,"Mark","Ballard","8"
15158,"Caitlin","Martin","8"
31828,"Ronald","Wright","8"
25346,"Willie","Rodriguez","8"
28810,"John","Howard","8"
2569,"Alexander","Lewis","8"
29225,"Antonio","Hampton","8"
31928,"Samantha","Medina","8"
3718,"Marvin","Smith","8"
23513,"Jessica","Shepherd","8"
29706,"Tammy","Fernandez","8"
26730,"Ashley","Warren","8"
12520,"Christopher","Christian","8"
6369,"Jessica","Ramirez","8"
26939,"Lauren","Lloyd","8"
20086,"Pamela","Mathis","8"
30261,"Tiffany","Bush","8"
5078,"William","Duncan","8"
5485,"Dawn","Moran","8"
8343,"Oscar","Kemp","8"
22443,"Adam","Campos","8"
6466,"David","Roberts","8"
14195,"Jessica","Hudson","8"
22928,"Kyle","Mckee","8"
29910,"Yesenia","Morgan","8"
20355,"Rebecca","Torres","8"
10613,"Kristen","Whitehead","8"
30179,"Grant","Williams","8"
16606,"Anne","Smith","8"
17781,"Tony","Berger","8"
17939,"David","Wilson","8"
3189,"Victoria","Lang","8"
4743,"Susan","Berg","8"
12470,"Teresa","Richards","8"
25160,"Tammy","Cook","8"
25620,"Danielle","Peterson","8"
5718,"Toni","Morales","8"
22533,"Linda","Reilly","8"
28128,"Michael","Smith","8"
25730,"Sarah","Lee","8"
13772,"Paul","Jones","8"
25593,"Richard","Chambers","8"
8150,"Suzanne","Brown","8"
17951,"Kathleen","Nichols","8"
5108,"Heidi","Lynn","8"
19844,"Daniel","Cantu","8"
27132,"Alicia","Smith","8"
9420,"Sara","Chang","8"
24859,"Danielle","Hill","8"
22001,"Christy","Johnson","8"
3631,"Carol","Rivas","8"
33168,"Alex","Taylor","8"
7851,"Justin","Bowman","8"
9866,"Jessica","Peterson","8"
26867,"Ruth","Wade","8"
6536,"Jane","Jones","8"
20450,"Cole","Davis","8"
3346,"Ricky","Anderson","8"
6334,"Rebecca","Carter","8"
32323,"Nicholas","Bell","8"
10741,"Bryan","Myers","8"
24541,"Fernando","Cox","8"
14294,"Michael","Benson","8"
5373,"Daniel","Cook","8"
9776,"Misty","Castro","8"
1413,"Jeff","Wiley","8"
2242,"Michael","Glass","8"
5327,"Elizabeth","Oneal","8"
22553,"Yesenia","Lawrence","8"
31242,"Susan","Guerrero","8"
9661,"William","Leonard","8"
9727,"Jessica","Durham","8"
12702,"Jennifer","Ellis","8"
3971,"Kayla","Hernandez","8"
17816,"Amanda","Manning","8"
12722,"Cynthia","Morrow","8"
8427,"Haley","Matthews","8"
28378,"Daniel","Cooper","8"
22989,"Shane","Livingston","8"
5344,"Rebecca","Hanna","8"
4141,"Rebecca","Brown","8"
24270,"Briana","Dunn","8"
19910,"Rhonda","Ross","8"
8878,"Matthew","Kemp","8"
7607,"Carlos","Lester","8"
10981,"Joanna","Williams","8"
2216,"Michael","Henderson","8"
26502,"Jose","Jensen","8"
833,"Steven","Barr","8"
2712,"Alex","Carpenter","8"
7087,"Tonya","Moore","8"
13609,"Dominique","Levine","8"
6968,"Linda","Rojas","8"
29870,"Nathaniel","Holmes","8"
15517,"Abigail","Bender","8"
4385,"Megan","Smith","8"
27818,"Meghan","Taylor","8"
2384,"Brandon","Green","8"
7255,"Ethan","Harvey","8"
10840,"Jillian","Thompson","8"
3930,"Timothy","Rogers","8"
14586,"Laurie","Andrews","8"
10478,"Eric","Castaneda","8"
18196,"Joanna","Gutierrez","8"
2083,"Kristina","Gardner","8"
20539,"Heather","Smith","8"
25093,"Kayla","Luna","8"
24764,"Aaron","Ruiz","8"
11724,"Shannon","Gibson","8"
16642,"Robyn","Smith","8"
12014,"Gwendolyn","Sandoval","8"
25552,"Alyssa","Kennedy","8"
6742,"Dominique","Jackson","8"
31284,"Sarah","Thomas","8"
17368,"Jacob","Vasquez","8"
18980,"Julie","Howell","8"
12929,"Timothy","Brooks","8"
32806,"Gary","Wells","8"
25953,"Christopher","Hansen","8"
21279,"Michelle","Mcclure","8"
2710,"Christine","Villegas","8"
14384,"Amanda","Taylor","8"
3846,"Paul","Serrano","8"
24171,"Mitchell","Jackson","8"
16784,"Samuel","Lopez","8"
12039,"Christine","Hunt","8"
14793,"Kevin","Chandler","8"
14084,"Katelyn","Rogers","8"
