"readerid","firstname","lastname","message","sentdate","isread"
1039,"Andrew","Montoya","Your book is due in 1 week! Please return it on time.","2024-12-02",False
24152,"Albert","Lyons","Your book is due in 1 week! Please return it on time.","2024-12-02",True
3761,"Eugene","Ray","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28846,"Emily","Powers","Your book is due in 1 week! Please return it on time.","2024-12-02",True
9431,"Amy","Wong","Your book is due in 1 week! Please return it on time.","2024-12-02",False
2989,"Alexander","Simpson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
20175,"Sherry","Vazquez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
13851,"Seth","King","Your book is due in 1 week! Please return it on time.","2024-12-02",True
1046,"Shannon","Reynolds","Your book is due in 1 week! Please return it on time.","2024-12-02",True
15691,"Brianna","Butler","Your book is due in 1 week! Please return it on time.","2024-12-02",False
5586,"Mackenzie","Hodges","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4986,"Timothy","Zuniga","Your book is due in 1 week! Please return it on time.","2024-12-02",True
26898,"Kevin","Vaughn","Your book is due in 1 week! Please return it on time.","2024-12-02",False
19815,"Marissa","Schultz","Your book is due in 1 week! Please return it on time.","2024-12-02",False
3661,"Anthony","Burke","Your book is due in 1 week! Please return it on time.","2024-12-02",True
31851,"Cristian","Mejia","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1163,"Connie","Sparks","Your book is due in 1 week! Please return it on time.","2024-12-02",True
18379,"Rebecca","Hansen","Your book is due in 1 week! Please return it on time.","2024-12-02",False
28337,"Rebecca","Moore","Your book is due in 1 week! Please return it on time.","2024-12-02",False
22526,"Nathan","Pearson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
27828,"Jonathan","Thomas","Your book is due in 1 week! Please return it on time.","2024-12-02",False
11613,"Kathryn","Davidson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13033,"Courtney","Hernandez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
1136,"Stephanie","Smith","Your book is due in 1 week! Please return it on time.","2024-12-02",False
14869,"Monique","Wright","Your book is due in 1 week! Please return it on time.","2024-12-02",False
13869,"Max","Kaiser","Your book is due in 1 week! Please return it on time.","2024-12-02",True
7009,"Gary","Moore","Your book is due in 1 week! Please return it on time.","2024-12-02",True
9487,"Mary","Moore","Your book is due in 1 week! Please return it on time.","2024-12-02",False
12860,"Christopher","Carson","Your book is due in 1 week! Please return it on time.","2024-12-02",False
30612,"Cindy","Yates","Your book is due in 1 week! Please return it on time.","2024-12-02",True
4755,"Edward","Nunez","Your book is due in 1 week! Please return it on time.","2024-12-02",True
27621,"Nichole","Rice","Your book is due in 1 week! Please return it on time.","2024-12-02",False
4828,"Laura","Nichols","Your book is due in 1 week! Please return it on time.","2024-12-02",True
21999,"Jamie","Gomez","Your book is due in 1 week! Please return it on time.","2024-12-02",False
