"readerid","firstname","lastname","familymembercount","totalfamilybooksborrowedbyfamily"
26225,"Bobby","Byrd","5","18"
31015,"Isaac","Barnes","5","17"
4210,"Jessica","Thomas","4","19"
13396,"Edward","Leon","4","18"
3411,"Ryan","Clark","4","18"
24898,"Sabrina","Lee","4","18"
16431,"Patricia","Sharp","4","16"
23680,"Adrienne","Green","4","16"
29771,"Betty","Gonzalez","4","16"
16760,"Kelli","Jacobson","4","16"
30389,"Robert","Knight","4","15"
11760,"Jill","Gray","4","15"
29171,"Thomas","Peck","4","14"
11454,"Amanda","Jackson","4","14"
23551,"Chelsea","Marshall","4","14"
29226,"Kristin","Williams","4","14"
20954,"Curtis","Murphy","4","14"
23968,"Melissa","Jackson","4","14"
11754,"Emily","Parks","4","14"
8485,"Robert","Leblanc","4","14"
2591,"Luke","Ross","4","13"
13927,"Stacey","Anderson","4","13"
26182,"Jonathan","Russell","4","13"
30207,"Jonathan","Garcia","4","12"
29721,"Melissa","Evans","4","12"
13333,"Laura","Schmidt","4","12"
23443,"Amber","Aguirre","4","10"
29238,"Troy","Wilson","4","10"
24799,"Eric","Riley","4","10"
30611,"Ashley","Collins","4","8"
22101,"Vanessa","Perez","4","7"
4373,"Sarah","Stone","3","21"
948,"Elizabeth","Johnson","3","21"
30049,"Kevin","Rowe","3","18"
28201,"Kevin","Alvarez","3","17"
11500,"Donald","Nelson","3","16"
29404,"Joshua","Garcia","3","16"
31685,"Valerie","Howard","3","16"
23918,"Marissa","Martin","3","16"
6464,"Lauren","Simon","3","16"
16206,"Kenneth","Browning","3","15"
12354,"Timothy","Lamb","3","15"
15479,"Tonya","Wilkinson","3","15"
31828,"Ronald","Wright","3","15"
23434,"Melissa","Gibson","3","15"
13058,"Jesse","Sparks","3","15"
11094,"Anthony","Green","3","15"
4507,"Kevin","Robinson","3","15"
12194,"Brian","Thomas","3","15"
32484,"Allison","Montgomery","3","15"
13835,"Patricia","Moore","3","15"
13299,"Maurice","Ryan","3","15"
25294,"Scott","Bennett","3","15"
14154,"Clinton","Guerrero","3","14"
16901,"Rebecca","Torres","3","14"
32162,"Angela","King","3","14"
31722,"James","Roth","3","14"
33093,"Jared","Fitzgerald","3","14"
24431,"Margaret","Coleman","3","14"
19929,"Sandra","Ward","3","14"
20732,"Frank","Hubbard","3","14"
30468,"Kenneth","Jimenez","3","14"
21017,"Kathryn","Ramirez","3","14"
22897,"Bridget","Jackson","3","14"
31860,"Justin","Miller","3","14"
12779,"David","Harris","3","14"
12743,"Kyle","Hawkins","3","14"
16357,"Andrew","White","3","14"
11434,"Derek","Schmidt","3","14"
30994,"Lisa","Edwards","3","14"
9741,"Maria","Schneider","3","14"
27692,"Dustin","Rodriguez","3","14"
29269,"Dawn","Carter","3","14"
26729,"Stephanie","Williams","3","13"
37,"Cody","Henderson","3","13"
4030,"Samuel","Perez","3","13"
21357,"Alan","Cox","3","13"
21828,"Marvin","Morrison","3","13"
14855,"Patricia","Krueger","3","13"
21127,"Wendy","Henderson","3","13"
25898,"Louis","Miller","3","13"
30295,"Sara","Ward","3","13"
25328,"Juan","Moon","3","13"
22193,"Kara","Young","3","13"
20532,"Glen","Davis","3","13"
16523,"Zachary","Pacheco","3","13"
30509,"Kayla","Clark","3","13"
1905,"Mary","Jones","3","13"
20785,"Jeff","Barker","3","13"
8971,"Kristi","Logan","3","13"
19077,"Matthew","Watts","3","13"
20229,"Patrick","Reynolds","3","13"
29808,"Adam","Murray","3","13"
17679,"Carrie","Oconnell","3","13"
21315,"Michele","Williams","3","13"
29897,"Eugene","Garcia","3","13"
5739,"Sandra","Sawyer","3","13"
9914,"Carol","Evans","3","13"
9239,"Mary","Miller","3","12"
31615,"David","Mendoza","3","12"
20537,"Dylan","King","3","12"
31541,"John","Morris","3","12"
5214,"Nancy","Henry","3","12"
17089,"Karen","Johnson","3","12"
29048,"Michelle","Brooks","3","12"
17447,"Denise","Mcmahon","3","12"
28716,"John","Smith","3","12"
29571,"Troy","Christensen","3","12"
32666,"Carrie","Garcia","3","12"
29606,"Sarah","Graham","3","12"
19361,"Karen","Smith","3","12"
13000,"Russell","Rogers","3","12"
5372,"Christopher","Patton","3","12"
29817,"Melissa","Knight","3","12"
32335,"Melissa","Pearson","3","12"
15951,"Jimmy","Oliver","3","12"
19446,"Michelle","Michael","3","12"
17265,"Christopher","Lyons","3","12"
30152,"Audrey","Scott","3","12"
15619,"Courtney","Jones","3","12"
24452,"Debbie","Farmer","3","12"
21041,"Jessica","Wilson","3","12"
30405,"Nicole","Roberts","3","12"
26485,"Daniel","Robinson","3","12"
32557,"Ryan","Taylor","3","12"
15240,"Mary","Nichols","3","12"
1190,"Joseph","Wilson","3","12"
10521,"Danny","Barnes","3","12"
22088,"Alyssa","Chavez","3","12"
25620,"Danielle","Peterson","3","12"
694,"Tracy","Hamilton","3","12"
5919,"Amy","Ramirez","3","12"
28083,"Scott","Powers","3","11"
20942,"Crystal","Martin","3","11"
24256,"Todd","Martin","3","11"
23071,"Jane","Novak","3","11"
20871,"Jeffrey","Watkins","3","11"
4377,"Nicole","Walker","3","11"
1698,"Edward","Alvarez","3","11"
13033,"Courtney","Hernandez","3","11"
19574,"Larry","Hughes","3","11"
28405,"Jennifer","Nelson","3","11"
19517,"Jennifer","Alvarado","3","11"
19825,"Aaron","Larsen","3","11"
21870,"Jessica","Buchanan","3","11"
7101,"Katherine","Reynolds","3","11"
29924,"Sarah","Higgins","3","11"
14426,"Michael","Crawford","3","11"
18702,"Angela","Velasquez","3","11"
8173,"Christopher","Larsen","3","11"
5122,"Devin","Moore","3","11"
564,"Michael","Gibson","3","11"
22456,"Megan","Sanchez","3","11"
31297,"Michael","Hanson","3","11"
1984,"Kevin","Ruiz","3","11"
532,"Eric","Long","3","11"
23878,"Tony","Brown","3","11"
15669,"Ashley","Chavez","3","11"
3219,"Zachary","Whitaker","3","11"
21434,"Kristin","Lopez","3","11"
25493,"Erica","Graham","3","11"
18995,"Albert","Mitchell","3","11"
7243,"Scott","Marks","3","11"
24817,"Marie","Carr","3","11"
740,"Michele","Harris","3","11"
26902,"Melissa","White","3","11"
15513,"Alexandra","Alvarez","3","10"
32120,"Dennis","Cardenas","3","10"
4415,"Tracey","Weiss","3","10"
32165,"Tamara","Valencia","3","10"
7951,"Shirley","Perry","3","10"
1994,"Phillip","Watson","3","10"
29686,"John","Carroll","3","10"
21858,"Allison","Turner","3","10"
25135,"Grace","James","3","10"
4627,"Kelsey","Norris","3","10"
18328,"Jennifer","Martin","3","10"
5234,"Julie","Cox","3","10"
24846,"Amy","Mahoney","3","10"
18807,"Jeffrey","Hicks","3","10"
20550,"Paula","Neal","3","10"
33324,"Joshua","Stephens","3","10"
32427,"Christina","Skinner","3","10"
21907,"Stephanie","Gibson","3","10"
1972,"Donald","Griffith","3","10"
25191,"Daniel","Marshall","3","10"
21519,"Amy","Madden","3","10"
4257,"Victor","Pierce","3","10"
4758,"Amy","Rodriguez","3","10"
12146,"Brandon","Sheppard","3","10"
17287,"Robert","Kelly","3","10"
28978,"Aaron","Ramirez","3","10"
29360,"Edward","Edwards","3","10"
4329,"Christopher","Hernandez","3","10"
9259,"Colin","Stone","3","10"
19441,"Brandy","Harris","3","10"
10455,"Bonnie","Leon","3","10"
27774,"Matthew","Boyd","3","10"
7491,"Amber","Smith","3","10"
15143,"Shawn","Pitts","3","10"
7380,"Susan","Mata","3","10"
6591,"Amber","Rollins","3","10"
26334,"Amber","Holland","3","10"
16592,"Joseph","Hutchinson","3","10"
2583,"Chelsea","Torres","3","10"
8297,"Brianna","Garcia","3","10"
3719,"Richard","Phillips","3","10"
1747,"Amanda","Simon","3","10"
32991,"Amanda","Sanders","3","10"
32039,"Lisa","Zimmerman","3","9"
29938,"Jason","Crawford","3","9"
8808,"Adam","Hurst","3","9"
32258,"Kimberly","Burch","3","9"
123,"Gregory","Green","3","9"
13154,"Cynthia","Arnold","3","9"
20030,"Laurie","Montoya","3","9"
15014,"Wyatt","Webb","3","9"
25546,"Brandon","Johnson","3","9"
1137,"Travis","Bright","3","9"
2601,"Justin","Russo","3","9"
6510,"Richard","Jones","3","9"
19963,"James","Ali","3","9"
27065,"Trevor","Johnson","3","9"
32227,"David","Serrano","3","9"
29273,"Jill","Allen","3","9"
9802,"Ernest","James","3","9"
30630,"John","Smith","3","9"
9795,"Laura","Davis","3","9"
16881,"Steven","Martinez","3","9"
13946,"Joseph","Oneal","3","9"
19830,"Jennifer","Moran","3","9"
24945,"John","Smith","3","9"
14688,"Matthew","Osborn","3","9"
32397,"Erika","Anderson","3","9"
29613,"Ashley","Mccoy","3","9"
25396,"Thomas","Morrison","3","9"
15308,"Tonya","Thomas","3","9"
1309,"Rachel","Brown","3","9"
29193,"Katherine","Scott","3","9"
23012,"Andrea","Mosley","3","9"
16347,"Kim","Daniel","3","9"
9142,"Robert","Hughes","3","9"
32537,"Billy","Williams","3","9"
21933,"Eric","Miller","3","9"
23474,"Jesse","Schmitt","3","9"
29161,"Tara","Haney","3","9"
1378,"Heather","Mack","3","9"
25952,"Wanda","Solomon","3","9"
5935,"Andrea","Parsons","3","9"
1399,"Pamela","Ellis","3","9"
23776,"Jessica","Brown","3","9"
16250,"Charles","Murray","3","9"
22037,"Derek","Brown","3","9"
32334,"Elaine","Montoya","3","9"
22822,"Christopher","Williams","3","9"
2885,"Michael","Rodriguez","3","9"
18560,"Darrell","King","3","9"
32607,"Bryan","Perry","3","9"
29829,"James","Terrell","3","9"
16499,"Debra","Baird","3","8"
25589,"Gregory","Evans","3","8"
6607,"Matthew","Smith","3","8"
22144,"Matthew","Moore","3","8"
8289,"Kristin","Lynch","3","8"
28839,"Sarah","Valdez","3","8"
10890,"Nicole","Sanchez","3","8"
31202,"Steven","Khan","3","8"
25959,"Michael","Roberson","3","8"
7630,"Krystal","Morgan","3","8"
20083,"Cynthia","Chan","3","8"
12991,"John","Smith","3","8"
513,"Jacqueline","Herrera","3","8"
20265,"Veronica","Hines","3","8"
27470,"Sarah","Rojas","3","8"
22004,"Rhonda","Adams","3","8"
12774,"Melanie","Phillips","3","8"
21838,"Denise","Mitchell","3","8"
27730,"Wendy","Potts","3","8"
18693,"Adam","Garner","3","8"
1013,"Angel","Friedman","3","8"
22013,"Dana","Abbott","3","8"
30869,"Jacqueline","Rivers","3","8"
26891,"Daniel","Miller","3","8"
4474,"Elizabeth","Williams","3","8"
1556,"Kathy","Swanson","3","8"
24702,"Jeffrey","Moore","3","8"
19480,"Erin","Campbell","3","8"
5009,"Jennifer","Brown","3","8"
17627,"Cathy","Lawrence","3","8"
15334,"Alexander","Durham","3","8"
16410,"Kevin","Hernandez","3","8"
12830,"Brian","Walsh","3","8"
7443,"Scott","Rose","3","8"
33085,"Keith","Ward","3","8"
15364,"Jacqueline","Anderson","3","8"
4583,"April","Cantrell","3","8"
11601,"Deborah","Taylor","3","8"
7183,"Steve","Bean","3","8"
3657,"Amy","Rivera","3","8"
9235,"Mckenzie","Parsons","3","8"
23149,"Sara","Chase","3","8"
12694,"Kelsey","Aguilar","3","8"
28999,"Derek","Harper","3","8"
23851,"Carlos","Gordon","3","8"
1441,"Jacqueline","James","3","8"
5838,"Deborah","Norris","3","8"
4274,"Robert","Tanner","3","8"
19891,"Katherine","Wilson","3","7"
7366,"Wanda","Clay","3","7"
18035,"Brandi","Smith","3","7"
18224,"Theresa","Rhodes","3","7"
18379,"Rebecca","Hansen","3","7"
28143,"Alexandra","Booth","3","7"
27043,"Ellen","Kelly","3","7"
18138,"Tamara","Winters","3","7"
7353,"Dana","Cook","3","7"
23960,"Larry","Perkins","3","7"
21833,"Peter","Mitchell","3","7"
26859,"Sergio","Carey","3","7"
10271,"Anthony","Smith","3","7"
31766,"Amber","Smith","3","7"
19366,"Danielle","Hunt","3","7"
14590,"Holly","Tucker","3","7"
