"readerid","firstname","lastname","genrename","readcount"
2,"Joseph","Wilson","Music","4"
3,"Leslie","Sharp","Health","4"
4,"Alexis","Smith","Cooking","8"
5,"Charles","Rogers","Economics","8"
6,"Alicia","Davenport","Entrepreneurship","4"
7,"Daniel","Raymond","Health","4"
8,"Michael","Black","Biology","4"
9,"Charlene","Chapman","Politics","4"
10,"Kimberly","Schultz","Criminal Justice","4"
11,"David","Day","Chemistry","4"
12,"Krystal","Guzman","Consulting","4"
13,"Andrea","Lawson","Dentistry","4"
14,"Angela","Stein","Leadership","4"
15,"Sean","Wilson","Accounting","4"
16,"John","Jones","Children","4"
17,"Haley","Moreno","Children","4"
18,"Matthew","Wilson","Health","4"
19,"Katherine","Martin","Film","4"
20,"Rachel","Reeves","Cooking","4"
21,"Veronica","Bullock","Finance","4"
22,"Randy","Welch","Computer Science","4"
23,"John","Carpenter","Biography","4"
24,"Renee","Wood","Autobiography","4"
25,"Robert","Rodriguez","Graphic Novel","4"
26,"Jessica","Mcneil","Cooking","8"
27,"Ian","Holland","Customer Service","4"
28,"Kelly","Jones","Logistics","4"
29,"Lauren","Thomas","Dance","4"
30,"Stephen","Richardson","Accounting","4"
31,"Betty","Diaz","Biology","4"
32,"Linda","Jennings","Comics","4"
33,"Jennifer","Soto","Finance","4"
34,"Lindsay","Coleman","Art","4"
35,"Susan","Boyle","Mathematics","4"
36,"Alex","Ortiz","Sociology","4"
37,"Cody","Henderson","Logistics","4"
38,"Beverly","Hall","Finance","4"
39,"Richard","Robbins","Physics","8"
40,"Cheryl","Buchanan","Art","4"
41,"Tamara","Bush","Politics","4"
42,"Amy","Thompson","Biology","4"
43,"Roger","Zhang","Non-Fiction","8"
44,"Beth","Warner","Fiction","4"
45,"Alex","Dean","Engineering","4"
46,"John","Reynolds","Biology","4"
48,"Mary","Hernandez","Art","4"
49,"Bryan","Young","Chemistry","4"
50,"Veronica","Hooper","Customer Service","4"
52,"Joshua","Rice","Comics","4"
53,"Keith","Cohen","Film","4"
54,"Charles","Cook","Supply Chain","4"
55,"Ashley","Pope","Autobiography","8"
56,"James","Wood","Cooking","4"
57,"Brenda","Thomas","Journalism","4"
58,"Christopher","Reynolds","Medicine","8"
59,"Michelle","Hayes","Television","4"
60,"Jesse","Jacobson","Music","8"
61,"Shannon","Brown","Information Technology","4"
62,"Sarah","Mclean","Education","4"
63,"Joseph","Ross","Comics","4"
64,"Aaron","Grant","Computer Science","4"
65,"Lori","Delgado","Romance","4"
66,"John","Mitchell","Sales","4"
67,"Erika","Mclaughlin","Cooking","4"
68,"Ryan","Hunter","Veterinary","4"
70,"Laura","Taylor","Drama","4"
71,"Terri","Walters","Biography","4"
72,"Cameron","Bridges","Fantasy","4"
73,"Johnny","Harper","Biography","4"
74,"Jose","Hernandez","Pharmacy","4"
75,"Julie","Gonzales","Biography","4"
76,"Julie","Wagner","Biography","4"
77,"Brandon","Griffith","Drama","4"
78,"Christopher","Cooke","Physics","4"
79,"Veronica","Pitts","Anthropology","4"
80,"Sarah","Pena","Entrepreneurship","4"
82,"William","Crane","Entrepreneurship","4"
83,"Lindsey","Chen","Literature","4"
84,"Cindy","Montgomery","Accounting","4"
85,"Sheila","Miller","Art","4"
86,"Manuel","Castro","Comics","4"
87,"Tim","Webb","Fiction","4"
88,"Justin","Lewis","Consulting","4"
89,"Rachel","Taylor","Art","4"
